IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill	˦	˨
i˦	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
i˨	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-		
jː	j	Body		+	-	-	-	+	-		+	-	-	-	-	+	-	-	+	-	-	+	-	-		-	-	-		
kʼ	k	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	-	-	+	-	-	-	-		-	-	-		
kʼː	k	Body		-	-	+	+	-	-		+	-	-	-	-	+	-	-	-	+	-	-	-	-		-	-	-		
kː	k	Body		-	-	+	-	-	-		+	-	-	-	-	+	-	-	-	-	-	-	-	-		-	-	-		
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-		
lː	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	+	-	-	+	-	-	+	-	-	-	-	-	-		
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-		
mː	m	Lips		-	-	+	-	-	-		-	-	-	+	-	+	-	+	+	-	-	+	-	-		-	-	-		
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-		
nː	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	+	-	+	+	-	-	+	-	-	-	-	-	-		
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
oː	o	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-		
oː˦	o	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-	+	
oː˨	o	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-		+
o˦	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
o˨	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
pʼ	p	Lips		-	-	+	+	-	-		-	-	-	+	-	-	-	-	-	+	-	-	-	-		-	-	-		
pʼː	p	Lips		-	-	+	+	-	-		-	-	-	+	-	+	-	-	-	+	-	-	-	-		-	-	-		
r	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	+		
rː	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	+	-	-	+	-	-	+	-	-	-	-	-	+		
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-		
sː	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-		
tʼ	t	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-		
tʼː	t	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-		
t̠ʃ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-		
t̠ʃʼ	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-		
t̠ʃʼː	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	-	-	+	-	-	-		
t̠ʃː	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-		
t̪	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
t̪ː	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-		
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
uː	u	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-		
uː˦	u	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-	+	
uː˨	u	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-		+
u˦	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
u˨	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-		
x	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
xː	ç	Body		-	-	+	-	+	-		+	-	-	-	-	+	-	-	-	-	-	-	-	-		-	-	-		
z	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-		
zː	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	-	-		
ɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-		
ɡː	k	Body		-	-	+	-	-	-		+	-	-	-	-	+	-	-	+	-	-	-	-	-		-	-	-		
ɲ	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-		
ɲː	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	+	-	+	+	-	-	+	-	-	-	-	-	-		
ʃ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-		
ʃː	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-		
ʔ	ʔ	Guttural		-	-	+	+	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
