IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
sː	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
tː	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
uː	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
y	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
yː	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
æ	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
æː	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
ø	ø	Vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
øː	ø	Vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ŋː	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	+	-	-	+	+	-			-	+	-	-		-	-			-
ɛ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʔ	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
